x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,label
299.4683577,165.7003511,307.2210658,156.4274508,286.2805378,157.3386949,324.5578039,163.0058876,272.7880984,169.6012089,349.6997088,232.251673,262.5636677,238.6490758,373.1671831,330.4637496,237.214419,345.2582654,314.7739309,331.9591395,324.7573686,327.6279126,348.5135909,457.5524415,282.9147095,454.4843788,324.2362917,580.9346406,278.7114586,583.1914096,319.990872,573.8460532,284.79796,577.7490971,f
299.3080299,165.6310519,307.1546859,157.1279511,285.7451484,157.4683475,324.128431,163.6036822,272.2843488,169.7102635,353.9883254,239.8871089,263.3889972,242.9670451,379.5982901,330.9016163,237.5985875,349.2127486,314.0904203,337.64455,318.6460801,331.921363,349.5538449,458.7010888,282.8660592,457.5231435,320.5422289,584.8675608,273.3816131,584.1016955,316.5075762,571.9997373,277.7818674,571.6976002,f
297.1967859,168.017039,306.0361347,158.7585331,285.4670638,159.9533319,324.4235883,164.8056351,274.1729264,170.9132854,353.042146,245.1980626,264.2546254,242.6848231,378.8755377,328.5854509,242.8319259,346.1950969,311.6960197,335.1007959,315.129556,339.8824753,352.0569999,457.6096412,283.2399091,457.2377673,339.2600319,588.5726798,275.7277139,584.9203361,313.3274396,573.0622929,277.995118,574.8285672,f
299.8451168,169.483981,308.7523654,158.8866581,287.4062392,159.9218821,325.4255825,166.8372609,275.0255977,172.5080676,356.7697363,247.4259866,264.1249577,245.1138763,383.3153145,332.8872989,242.9581146,347.8353811,352.3730142,326.4619826,328.4418283,332.459655,349.3737116,456.1275984,284.144977,454.3950276,319.1201506,582.9314711,274.7272159,582.6873803,316.6081832,575.8501829,279.4458033,576.6502909,f
301.8894763,170.6467827,310.6522461,160.886264,289.6028286,161.366766,325.8199759,169.0509888,276.2656278,172.6074314,356.6649972,245.1867474,265.0189245,244.3389358,382.6366036,332.2577724,243.0147413,348.6728986,346.4782537,327.1669398,326.4552372,334.8008971,351.3509675,456.5492765,283.0335541,458.4125005,339.0375789,588.0738421,271.271595,584.2800796,317.6373965,573.5243706,275.8835925,574.9513156,f
303.14382,170.8774671,311.695445,160.7999754,290.8561107,161.2284467,326.8225567,169.6153111,277.8182719,172.9011684,360.2223464,243.8358553,264.9623636,244.681555,385.1233148,328.8506854,246.3111628,346.5852398,348.1910142,326.7215945,325.8447859,332.9409588,352.8394445,454.839981,287.5366116,456.719776,339.8503606,587.7850009,276.7822623,581.8935813,320.1926035,574.5218109,279.1253176,573.5708119,f
309.0099177,171.1066173,316.0982985,161.4810676,299.7219338,162.6192929,329.8105001,169.7390652,281.4936671,174.3716454,365.9900781,245.6252226,267.5577732,243.0387668,383.0333915,333.2990286,249.3593553,347.7487741,353.4262322,328.1536087,327.5722958,333.2065021,357.6697656,460.015938,289.7977825,452.6265019,338.8800833,584.8458993,279.0370174,578.4116895,322.0116374,576.4973741,283.6855981,574.855881,f
311.2295223,171.7812362,318.98283,161.089046,300.3058324,162.5154627,334.1334658,168.872059,282.1020149,174.1600767,368.7070082,243.8121347,273.4301473,244.4649871,394.8433237,331.9045569,255.055859,345.7915025,365.5083077,327.8244393,339.3656096,330.3626319,358.6134937,457.8892392,297.1662149,456.8202275,352.846558,588.2186427,301.4255865,587.9716094,354.728132,581.4838596,287.1146212,574.9615823,f
315.7147377,169.4802001,323.7283358,159.2099845,304.1502885,161.0298108,340.3471369,166.1492006,284.9658257,172.9551465,378.2781104,244.597067,274.801813,242.6049475,399.0875705,331.405287,257.5535803,352.8556598,384.5443595,326.7703781,342.9760813,333.6956205,361.237589,455.3117305,297.6387624,457.5902679,350.4705953,583.8247645,286.6259593,578.3843757,348.9305317,575.0061498,289.0129867,571.7373348,f
317.402275,169.9060177,325.1875911,158.8224901,306.2512872,161.5579434,339.6553995,163.6602032,289.916041,169.6868647,372.3329418,239.7979763,278.7676491,242.5299746,405.0255089,326.8857453,261.0624796,346.9649805,384.0812202,326.4631148,345.9773723,334.3630898,361.758243,454.9934073,295.6703465,456.9889244,349.6718672,584.9419382,286.4463676,579.0705533,351.4165144,576.047336,290.60471,572.3732559,f
